reviewer name,number of reviews by reviewer,review title,review rating,review
Jeff Tully,1,3/10/2019 Myer Southland Men's…,Excellent,3/10/2019 Myer Southland Men's department. Assisted by Jillian @ 5.54pm # 72125984I went in to buy a pair of shoes not knowing exactly what I was looking for and Jillian came to my rescue. She was most helpful and went out of her way to find me something that I liked. My experience in relation to customer service provided by Jillian was gold star service and she rightly deserves to be acknowledged for it. I did end up buying a pair of shoes and I'm very happy with it. Thank you again Jillian.
Vindya Madawala,1,I bought an online item yesterday for…,Bad,"I bought an online item yesterday for click and collect. When I was buying it was mentioned that I could collect it after 10am today. After several phone calls, the customer care officer said worst case scenario is that I may have to collect it on Monday. Not happy with the service."
Thomas B,2,Bought my wife a necklace online,Great,Bought my wife a necklace online. She seems happy with it :)
Kacey Hickey,1,While visiting Launceston again this…,Excellent,While visiting Launceston again this year I wandered into the Myer cosmetic department to be looked after by Sue and Tracy on the Lancome section.These two are absolutely delightful and brilliant ambassadors for the store. I had the pleasure of meeting them on my last visit and was really pleased to see them again. If only all cosmetic consultants knew their stuff like these two. Its a real treat to have them look after you.Well done Myer.  Please don't lose them.
Jimmy Chan,1,"My great experience at Myer, George St, Sydney",Excellent,"I went to Myer, George St, last Wednesday 25 Sept 2019 for a men's watch. I went to the ground floor escalators, spoke to a young lady and she took me to the Men's watches..great...At the watches section, I was served by 'Marta' who was so helpful. I bought a GREAT watch....Overall, GREAT CUSTOMER SERVICE...Thank you!!!"
Gj,1,"Bad service, sale lost",Bad,I went into Myer Adelaide Rundle Mall this morning with the sole intention of buying a large bottle of Chanel Gabrielle. The attendant was deep in conversation with a customer so I politely waited. After trying several times to make eye contact with the attendant I got nothing - not even ‘I’ll be with you in a moment’ .. clearly I didn’t look enough like a serious buyer to her .. so after being ignored I left and bought the perfume from David Jones.
Suzanne Dawn Milne,1,Went to Myer in North Lakes.QLD to…,Excellent,Went to Myer in North Lakes.QLD to purchase sunglasses bought a pair but after 3 days took them back due to unsuitability  The young man helped me try on so many more  but due to me not finding a suitable pair happily refunded my money in full he was a very helpfull nice person
Mark Duffus,1,I received a birthday e voucher via…,Bad,"I received a birthday e voucher via email and thought I would purchase something online. It all seemed OK, there was a mention of limited stock. But it did not say not available. So I purchased the item (DJI Tello drone Kit $239). Because of the price it came with free delivery. The purchase was made on 18th Sept 2019, so the next couple of day I logged into the online tracking of the order and was told tracking was not available. So I presumed it had not shipped. Checked the expected delivery times - 4-7 days. 26th Sept 2019 I logged on to track the order and was still unable to track. So called the contact number and this is where the I was astounded at how bad there online store was and why MYER may not be around for very long. I was told that the order had been attempted to fill several times and failed so they would give me a refund. But I was told there system said there was one of the items at the Brisbane store but their system cannot fulfil from a physical store so I would have to get the refund then try and contact the store to see the item really was available. So Myer cannot pull stock from their stores only from a warehouse!  And the kicker is that If I hadn't phone up there was no trigger within there system to contact me to notify me of the delay or inability to supply.... My order would be left in a loop. In an age of online shopping MYER fails! Oh also now I have to wait 3 business day for the money to come back after I respond to and email and fill out the necessary info..."
Janice Krieger,1,The online Click and collect is RUBBISH,Bad,"The online Click and collect is farcical. I placed my order at 11.37am and the order was supposed to be ready in 3 hours. Rubbish, I had to chase them up, physically go to the store without the “collect email” as it was over 3 hours.And when I requested to be put through to the store when I tried to chase up the progress of the order, was passed to the incorrect one.Also, where is the customer service email???? No wonder they are not doing well."
Alison Searle Butcher,1,I was served on Thursday,Excellent,"I was served on Thursday, 19 September by a lovely lady called Lily in the shoe department.  She was so professional, so helpful and went beyond what I've had before in terms of service.  I was so happy with my 2 pairs of shoes as I struggle to get anything decent with my big feet (size 43 European!).  Thank you Lily, I really appreciated it."
Belinda,4,Generally good products and options,Great,Generally good products and options. Shipping was good and tracked via Australia Post
Angela,1,Myer's online customer service is really bad!!!,Bad,Myer's online customer service is exceptionally bad - they are no help whatsoever - the money wasn't uploaded onto a gift card I purchased at a store and when I asked them for further information the assistant said 'sorry I can't help you have a good day' and hung up - BEWARE OF PURCHASING GIFT CARDS - I just wasted $50 and they won't help and don't care!!!
Jennie Stoop,1,Happy with helpful Kathy,Excellent,"Today I was looking for classical shirts for my husband. It was not easy to find the right size. Kathy, the team member,  was very helpful and we succeeded to find three fine shirts. I am happy with that! Thanks."
Adrian Goold,1,I shopped in Myer Morley today and a…,Excellent,I shopped in Myer Morley today and a staff member called Dee Catalano was in Morley store from the city. She went out of her way to source a dress for me which we found 1 only in the city store. I was very happy as I did want this particular dress.  She made my shopping very satisfying. Please acknowledge her great service. It was a pleasure to shop at Myer. thanks Liz Goold
Phyllis Heath,1,Excellent service. Excellent product.,Excellent,"I want to praise the service received from Jarrod and Ben in the electrical department of Myer in Cairns over the past 2 days.I wanted advice on buying a Bluetooth speaker which would cope well with the spoken word and not have too much bass. On my first visit to the shop Jarrod talked me through the speaker selection and let me see and hear the recommended Ultimate Ear Boom 3. He gave me his card and assured me that he would willing to answer any more question I might have. The next day I phoned to speak to Jarrod to ask if I could bring in my android phone, connect to the Boom 3 and listen to some speech and music.Jarrod was busy serving another customer and I was a little reluctant to explain my mission to the other assistant who asked if he could help me. My reluctance was undeserved. Ben proved to be another polite, knowledgeable young man. He helped me connect and listen to the speaker and I happily purchased one.Being a lady in my 60’s, I am frequently either ignored or treated in a condescending manner by young members of staff in electrical shops or departments. Neither Jarrod nor Ben displayed any hint of this approach. I can not praise them highly enough.Thank you Myer for employing staff in that department who both know their subject and know how to help people to buy the right product."
Eden Edison,1,The worse experience ever with Myer…,Bad,"The worse experience ever with Myer online, I ordered and expected to receive in the time frame however they never delivery good customer service, all they could ever say is unfortunately! I mean everyone is busy when they expecting an items they already set up their time frame, especially to click and collect at the store. When i came in they told me unfortunately it's not ready to be collect, asked them how long it will take, they answered they don't know?!! Ridiculous experience with them many times, i think i will better shop with DavidJones instead."
Melissa Herron,1,Bra shopping made easy at Pitt St Mall Myer,Excellent,"I went to Myer in Pitt Street Mall, Sydney to go bra shopping. Having not been bra shopping for many years, the sales drew me in. I went at 11am on a weekday to avoid crowds and was really impressed by the customer service. Someone helped me find a few bras to try on, and another lady helped me in the dressing room to get the right fit. I was very impressed and left the store with a bargain and a smile on my face. Thanks!"
Meropi,1,The perfect fit!,Excellent,We went into MYER Chadstone (men’s department) and served by Jimmy and another female young staff member who helped us choose a pair of black jeans for my son suitable for his size and shape. They both provided us with exceptional service considering my son was not with us. They served us with patience and excellence asking questions to ensure we had the right fit for him and were happy with our decision. Can’t thank them enough for helping us out. The jeans fit perfectly !
Louis Murphy,1,Myer Online is a hoax.,Bad,"Bought a Sonos Sub on line using Afterpay. Order was accepted and payment completed. I received a confirmation from Myer telling me order was accepted. I then received email saying order was cancelled because item was unavailable nationally, locking up my money for a week waiting for refund.. I then went into Myer site and saw numerous stores had the item. I called Myer online and they said their stock system is not up to date and I should call a store and see if they will release it to online system.” Basically “ so sad too bad. I called Myer Gsrden Scott and the helpful person that I was speaking to advised they had one in stock but I can’t use Afterpay In store. I asked if I could lay by the item but was advised yeas Myer does layby but not on electrical. My lesson from this is that Afterpay customers are inferior and that shopping with Myer is not a satisfying retail experience. I have purchased the item elsewhere. I hope I get my money back soon. Cash is best and shopping with retailers that want your business is better"
Jake Johnson,1,"(myer online) Don't waste your time, or money.",Bad,"Have used their online service twice this week (trying to order the same item three items) and have had no luck. It says 'available' online, I pay for express deliver on the 3 only to be sent x1 parcel with express and informed the other 2 are currently unavailable and will be sent 'standard shipping free of charge' (standard was free anyway as I spent more than required). After kicking up a fuss about how I could pay for express only to be downgraded to standard 'free of charge' they ignored me for several hours before cancelling x2 of my products (no mention of a refund) and sent through a 'sorry turns out we don't have these items anywhere we've cancelled the orders'. Absolutely disgusting, no refund has been made yet and currently have no response from Myer. So in the last 3 days I've payed in excess of $300 to Myer Online and have 1 $39 t shirt (which I actually paid near $50 for including shipping). So I've got an over priced t shirt, a bad experience and no refund in sight. Don't waste your time or money."
Sharmila Lal,1,Myers Blacktown has poor customer service,Bad,"Today I went to my local store in Blacktown with my mum who is disable both physical and mentally. I have always in the past 15 years given good reviews for this store. But I was disgusted by the girl who served my mum. My mum wanted To buy channel no5 but because she’s a pensioner she could only afford the 35ml. I asked the girl her name was saj  if they had 35ml and she said no they have sold out. She said they have only 100mls and above left and said we could purchase that . I said to my mum don’t worry I can go to Burwood and get it from David Jones. The girl immediately interrupted and said let me check the draws below and when she opened the draws there was  at least 4 x 35ml channel no 5. The Girl Saj’s intention was to make her sales for the day and she wanted my mum to pay $240 for the bigger size so that she makes her sales for the day. These Myer staffs have no empathy, they cannot relate to their customers and they lie so much just to get that extra bucks even from a disabled pensioner. It’s cruel and ruthless of them to act so disconnected."
Stella Nobbs,1,I had one of the best customer service…,Excellent,"I had one of the best customer service experience when I visited your store at Miranda on Sunday 1 September. I was looking for a personal garment and could not find what I was looking for, too many choices I guess. I was approached by Joanna Stewart who asked me if she could help.  I explained what I was looking for and in a minutes she provided me with a number of items and asked if I would like her to assist me. I said I would call her if I needed her, she said she would be outside the fitting room. Nothing fitted me, I called Joanna and she went out to provide me with a couple more sizes. I did not like any. I asked Joanna whether the item I was wearing was still in stock, she confirmed and provided me with two colours to chose from. by now I had tried 8 items. She assisted me at checkout with a smile. I kept on apologised for putting her through the ordeal, she just smiled and said it was not a problem. Being in a CS work area myself I was very impressed by Joanna's professionalism and attention at all times.Joanna deserves a pat on the back."
Crossan,1,Gift card in hand and no one to help 😕,Bad,"As I have a Myer gift card I thought I would use this to purchase my wedding lingerie at Myer Carindale. The range to choose from is exstensive and not having much experience in wearing figure hugging lingerie I needed some help. I approached two ladies who were chatting to ask for some help with sizing, only to be told that was the only sizes they had left and that’s why it was on the sales rack and then she walked away. Never  asking me what I was looking for or if I needed help. I entered the fitting room to try my selection on. I notified a Sales Assistant that I was there and if I could try a few things on.  As I struggled quietly not once did an assistant come to check on my sizes or if I needed help. Not knowing if I had chosen correctly and feeling disheartened with no help I discarded my choice and left the store. Lift your game Myer!! If this is how customers are treated no wonder you are a dying breed."
Marsha Wehbe,1,If you are ever at the Myer Roselands…,Excellent,"If you are ever at the Myer Roselands Store , you must ask for Layla in the perfume department . So Friendly and such wonderful customer Service skills , really happy that my family and were served by LAYLA at the Myer Roselands Store."
Joseph,1,Maria at Myer Warringah mall in the…,Excellent,Maria at Myer Warringah mall in the cosmetics department. Was fantastic. She went above and beyond and I have never received customer service to that extent!!
Penelope Newton,1,Northland,Excellent,"Northland - ladies shoes. Stephanie was great. Friendly and Soooo helpful. I don't enjoy shopping but Stephanie was happy to get me different sizes and styles to try and left me be while I weighed up my options. I did take a while as I had previously bought boots elsewhere and they have never been comfortable but I hate shopping. Myer had a good selection, wide foot options, sale and saved $80 and used a gift card. Thanks Stephanie!"
ornagh griffin,1,I recently purchased some kitchen ware…,Excellent,"I recently purchased some kitchen ware at myer bondi junction with the assistsnce of marie teresa. She provided thoughtful, insightful and practical help for us. It was a very pleasant and succesful purchase🙌"
christina peros,3,Exceptional Customer Service,Excellent,"I visited Myer Northland  menswear today (17/8/2019) to purchase a suit for my husband.We were served by a staff member by the name of Joannewho has to be the most preferential staff member we have encountered. Her knowledge of suits was  incredible.She organized the perfect suit,the perfect shirt and the perfect tie.Nothing was too much trouble and took the time to make sure that everything was perfect and we were happy with every product we purchased.Even her happy manner made it even more pleasurable. I would certainly shop there  again and recommend the great service.Well done Joanne."
Georgi Baldock,1,I got a Myer and coles group gift card…,Bad,I got a Myer and coles group gift card for my birthday and i was trying to buy something online on the Myer online website and I found that you can only use it in store which I found it ridiculousNever shopping with Myer
Ying,1,I have purchased two Myer gift cards at…,Bad,"I have purchased two Myer gift cards at Woolworths a few weeks ago and tried to spent it at the Myer Melbourne store today. When the salesperson tries to swipe it, he said it wasn’t activated. looked at me blankly like I was just supposed to throw the card away. So I asked him what can I do with the card. He just said to go back to Woolworths. Not very helpful. So I thought I will check with another salesperson. this other lady told me well she can’t fix it, go to customer service. If I have the same instructions from the first guy then I wouldn’t have to ask her, she looks like I was wasting her time or something But otherwise, the nice customer service lady was able to refund what I have paid on credit and deduct it off the gift card. I was glad to get rid of the gift card and won’t have to go back to Myer store  again"
Carla van Raay,1,When I am in need of a new bra,Excellent,"When I am in need of a new bra, as I was today, I make a point of going to Myers because of their fitters there. In particular, I seek out Teresa, a long-term staff member at Garden City with great experience. She picked out the right bra for me straight off - no need to try on several others. I bought two."
Lyka,1,excellent service,Excellent,"Just had an excellent experience  with a staff from myer indooroopilly  this afternoon.Looking for a specific tokito coat and the lady who helped me really go extra miles. She look for the item even rung other store and called me a few times. Although the coat was not found, I am surprised with the service. I called sydney cbd and found the coat. The staff was also good in sydney and the transaction was easy ( ordered via phone) now, i am just waiting for the item to arrive in victoria. Just hope the item is in good condition. Thanks myer staff in both city."
Sophie,1,Worst customer service and complaints…,Bad,Worst customer service and complaints handling I've ever experienced. Refuse to apologise or take responsibility for THEIR errors at the cost of the customer.
rebecca smith,1,Terrible Customer Service,Bad,"I went to Myer to buy an expensive eyeshadow. I had only 15 mins spare before going to work but I knew what I wanted and where it was. I got to the counter (M.A.C) but the two girls were faffing around two other women and ignoring the other potential customers. A simple - 'I'll be with you in a minute', or 'can I help?' would not have gone astray. The girls kept faffing and faffing about and ignoring at least 3 other potential customers. My time was running out so I asked a lady in another section. She saw how indifferent the two M.A.C girls were and commented loudly ""well they obviously don't want to make a sale"" and tried to help. Turns out they'd run out of what I wanted, but they could have broken their tepid discussions and told me when I first asked. They were fully unhelpful. I had no time left to look for an alternative and left without making a sale. Today I went online and brought the product directly from M.A.C. A direct result of poor customer service. Had these two treated me as a respected customer (as I do in *my* customer service job) I could have found an alternative in the shop."
Darian Au,1,Worst customer service ever!,Bad,"Visited the Northland Store in Melbourne today and got the worst treatment ever by one of its staff in the shoes department. I asked for a pair of shoes in my size. She agreed to look for it, after 5 minutes she came back with the shoe and completely ignored me. She pretended she didn't see me and helped out another customer to find a shoe size. It's not until I got annoyed and asked her if she has them in my size, she has the decency to tell me, they were not available in my size and her excuse was sorry I didn't see you. I am of Asian background, I think she treated me as a second class citizen which I think it's totally unacceptable in this day and age. I have never felt so humiliated and annoyed. I won't name any names, but that blond, old woman, with lots of makeup on should be retrained to have better manners or Myer will continue to lose lots of sales."
Helen,2,I have had a few bad experiences in the Myer store.,Bad,"I have had a few bad experiences in this store. Some people who work there think they can treat you like their worst enemy and get away with it. I took my mother into the cosmetics section on e day. The cosmetic consultant took one look at her and said""I don't think your mother has ever washed her face!"" this comment was insulting and very hurtfull. how can they allow someone like this work for a major store like this. I think this sales woman has never had to wash her tongue out by her mother. Good gracious!"
C/O David,5,Myer no longer customer service oriented,Bad,My partner was diagnosed with a malignant brain tumor. Prior to beginning chemotherapy he was given an extension on his unused gift arc until the end of July 2019. Upon attempting to use this month he was advised the card has been expired. Upon contacting customer service he was advised that it was never extended. They refused to assist. I don’t understand there reasoning behind the refusal as the card contains a monetary value of an initial cash purchase. Myer is no longer a brand that stands for quality customer service!
Cici Tang,1,I have experienced awful customer…,Bad,I have experienced awful customer service from Myer according to my online shopping!!
David Moore,1,First and last time,Bad,Its nearly 2 weeks since I ordered a pair of jeans. Still waiting. Absolutely hopeless
Tracydavid Kuvekalovic,1,elitest attitude.,Bad,"went to MYER Carousel on the 18th July Thursday around 6.10 pm.  just walking through MYER to take a short cut through the shop . Got to the perfume section of the store and one of the famale staff was standing around with thoes perfume samples that there supposed to hand out to customers. No hello would you like a sample , she looked me up and down and turned the other way as i was going past . I gave her friendly smile and wave like i always do to any of the staff no matter what shop i am in and just to get that treatment. MYER is notorious for judging people by what customers look like and pretentious attitude .And by far MYER carousel is the worst place to shop . The so called staff really need to take a good hard look at themselves as they are no better than anyone else and are going to lose customers with that sort behaviour."
robert harvey,1,I have had many very good experiences…,Excellent,I have had many very good experiences with Mark Forsyth and Linda Healy in the mens department at Chadstone.I am time short so to have someone advise and go to the various sections whilst in the changing room is a great 'win' for me.The quality is good and the is a good range.
Liz,1,Myer customer service is the worst you…,Bad,"Myer customer service is the worst you can possibly come across. The staff can be rude, short tempered and you would feel they are screaming at you.I have been following up with them for an online shopping issue, where  the item seems to have been lost or delivered to incorrect address, but no sympathy from the staff, they sound more frustrated than the customer who paid $$$ and lost her item. I regret making the purchase from Myer."
Sarah Corry,1,This has been the worst online shopping…,Bad,"This has been the worst online shopping experience I have ever encountered. At the time of ordering a baby cutlery gift set, the estimated delivery time was 4-7 business days. 8 weeks later the items had not arrived. During this time I made over ten calls to Myer, each time the customer service person offered no form of solution or could not tell me where my items were. They blamed the external supplier or the courier company. I have still not received my items.NEVER again will I order through Myer online. TERRIBLE."
Mylene  Keefe,1,I work in Retail for 32 years up to the…,Bad,"I work in Retail for 32 years up to the present I am in one of the Consession Brand so I do 3 days at DJ and 2 days at Myer in different suburb of Brisbane anyway my daughter need some work clothes a few weeks ago Tokito a Myer home brand have a fantastic 40%sales so I brought 4 pair of pants So when I visit my daughter in Sydney only 1 fit so the next day with my receipts I brought the 3 pair of pants to exchange the size I found the department and happy to see a staff name Maria[found out the name later] who is putting the clothes awayat Tokito area.So with a smile I said Hello happy to see you, Can you help me and she turn and said Register just right there, So for the second time I said No, I need to exchange the pants for a different size and again she pointed the register to me and I said slowly I need your help !and she respond I cannot help you I am busy !! this time I was absolutely gobsmack and said to her I am a customer and need help and here you are saying you are busy she just totally ignore me , I myself never been rude to my customers But this girl Anna with black hair about on her twenties working at Tokito area have to learn What she is doing working at Myer in the first place !! So to the Management of Myer Maquarie Department Store this incident happen 25th of June around 10 am do something about my complaint and love hearing from you soon."
